CreditConstraintType,Credits,Year,Alternatives,ProgramSpecific,ElecGroup,IneligibleMajors,ReadIfHonours,Notes
AT_LEAST,9,-1,GISC380;GISC381;GISC480,,,,Available for all majors to read,
AT_LEAST,21,-1,APSC169;COSC101;COSC111;COSC121;COSC222;COSC304;COSC341;COSC360;COSC404;COSC435;COSC448;DATA101;DATA301;ENGR332;EESC111;EESC413;EESC437;EESC444;EESC448;GEOG109;GEOG129;GEOG271;GEOG272;GEOG427;GEOG437;GEOG498,,,COSC;APSC;DATA;EESC;GEOG,"If cosc/eesc/apsc/data/geog major, don't read this",
AT_LEAST,15,-1,COSC222;COSC304;COSC341;COSC360;COSC404;COSC435;COSC448;DATA301;ENGR332;EESC413;EESC437;EESC444;EESC448;GEOG271;GEOG272;GEOG427;GEOG437;GEOG498,,,,Available for all majors to read,
AT_LEAST,21,-1,APSC169;COSC222;COSC304;COSC341;COSC360;COSC404;COSC435;COSC448;DATA101;DATA301;ENGR332;EESC111;EESC413;EESC437;EESC444;EESC448;GEOG109;GEOG129;GEOG271;GEOG272;GEOG427;GEOG437;GEOG498,,,!COSC,"Read only if cosc. If cosc major, then 1st year cosc courses not allowed",
AT_LEAST,9,-1,APSC169;DATA101;DATA301;ENGR332;EESC111;EESC413;EESC437;EESC444;EESC448;GEOG109;GEOG129;GEOG271;GEOG272;GEOG427;GEOG437;GEOG498,,,!COSC,"Read only if cosc. If cosc major, then only 12 cosc credits allowed",
AT_LEAST,21,-1,COSC101;COSC111;COSC121;COSC222;COSC304;COSC341;COSC360;COSC404;COSC435;COSC448;DATA101;DATA301;ENGR332;EESC111;EESC413;EESC437;EESC444;EESC448;GEOG109;GEOG129;GEOG271;GEOG272;GEOG427;GEOG437;GEOG498,,,!APSC,"Read only if apsc. If apsc major, then 1st year apsc courses not allowed",
AT_LEAST,21,-1,APSC169;COSC101;COSC111;COSC121;COSC222;COSC304;COSC341;COSC360;COSC404;COSC435;COSC448;DATA301;ENGR332;EESC111;EESC413;EESC437;EESC444;EESC448;GEOG109;GEOG129;GEOG271;GEOG272;GEOG427;GEOG437;GEOG498,,,!DATA,"Read only if data. If data major, then 1st year data courses not allowed",
AT_LEAST,21,-1,APSC169;COSC101;COSC111;COSC121;COSC222;COSC304;COSC341;COSC360;COSC404;COSC435;COSC448;DATA101;DATA301;ENGR332;EESC413;EESC437;EESC444;EESC448;GEOG109;GEOG129;GEOG271;GEOG272;GEOG427;GEOG437;GEOG498,,,!EESC,"Read only if eesc. If eesc major, then 1st year eesc courses not allowed",
AT_LEAST,9,-1,APSC169;COSC101;COSC111;COSC121;COSC222;COSC304;COSC341;COSC360;COSC404;COSC435;COSC448;DATA101;DATA301;ENGR332;GEOG109;GEOG129;GEOG271;GEOG272;GEOG427;GEOG437;GEOG498,,,!EESC,"Read only if eesc. If eesc major, then only 12 eesc credits allowed",
AT_LEAST,21,-1,APSC169;COSC101;COSC111;COSC121;COSC222;COSC304;COSC341;COSC360;COSC404;COSC435;COSC448;DATA101;DATA301;ENGR332;EESC111;EESC413;EESC437;EESC444;EESC448;GEOG271;GEOG272;GEOG427;GEOG437;GEOG498,,,!GEOG,"Read only if geog. If geog major, then 1st year geog courses not allowed",
AT_LEAST,9,-1,APSC169;COSC101;COSC111;COSC121;COSC222;COSC304;COSC341;COSC360;COSC404;COSC435;COSC448;DATA101;DATA301;ENGR332;EESC111;EESC413;EESC437;EESC444;EESC448,,,!GEOG,"Read only if geog. If geog major, then only 12 geog credits allowed",